dd/MM/yyyy HH:mm:ss;CTCA,13
01/03/2021 09:23:32;1308,00
01/03/2021 09:24:56;1312,00
01/03/2021 09:33:52;1316,00
01/03/2021 09:34:53;1320,00
01/03/2021 09:36:53;1324,00
01/03/2021 09:41:53;1328,00
01/03/2021 09:42:54;1332,00
01/03/2021 09:44:54;1336,00
01/03/2021 09:46:54;1340,00
01/03/2021 09:48:44;1340,00
01/03/2021 09:50:44;1340,00
01/03/2021 09:52:00;1340,00
01/03/2021 09:52:40;1340,00
01/03/2021 09:56:48;1344,00
01/03/2021 09:56:50;1344,00
01/03/2021 10:03:21;1344,00
01/03/2021 10:04:04;1344,00
01/03/2021 10:05:03;1344,00
01/03/2021 10:09:11;1348,00
01/03/2021 10:11:12;1352,00
01/03/2021 10:12:59;1352,00
01/03/2021 10:14:06;1356,00
01/03/2021 10:16:32;1356,00
01/03/2021 10:17:40;1360,00
