R14;marouene test 22222;18;Ad Hoc;*;*;*;*;*;*;*;;Layout_Tabular_Portrait;Portrait;;CH F COMMERCIALE HUMIDITE ;T - A;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Administrateur
DR21;Suivi conformite Tc Journalier Laboratoire;14;Suivi conformite;Temperature;Temperature;J;Journalier;#&#&D4;#&#&Laboratoire;CTC4;Laboratoire;Layout_Chart_Report;Paysage;Chart_14_Temperature_J_CTC4_V150;*;*;*;14_Temperature_-_J_CTC4;Suivi conformite Temperature Journalier Laboratoire;Developpeur
DR22;Suivi conformite Tc Hebdomadaire Laboratoire;14;Suivi conformite;Temperature;Temperature;S;Hebdomadaire;#&#&D4;#&#&Laboratoire;CTC4;Laboratoire;Layout_Chart_Report;Paysage;Chart_14_Temperature_S_CTC4_V150;*;*;*;14_Temperature_-_S_CTC4;Suivi conformite Temperature Hebdomadaire Laboratoire;Developpeur
DR23;Suivi conformite Tc Mensuel Laboratoire;14;Suivi conformite;Temperature;Temperature;M;Mensuel;#&#&D4;#&#&Laboratoire;CTC4;Laboratoire;Layout_Chart_Report;Paysage;Chart_14_Temperature_M_CTC4_V150;*;*;*;14_Temperature_-_M_CTC4;Suivi conformite Temperature Mensuel Laboratoire;Developpeur
DR24;Suivi conformite Tc Annuel Laboratoire;14;Suivi conformite;Temperature;Temperature;A;Annuel;#&#&D4;#&#&Laboratoire;CTC4;Laboratoire;Layout_Chart_Report;Paysage;Chart_14_Temperature_A_CTC4_V150;*;*;*;14_Temperature_-_A_CTC4;Suivi conformite Temperature Annuel Laboratoire;Developpeur
DR25;Suivi conformite Tc Journalier LAB Bacterio;14;Suivi conformite;Temperature;Temperature;J;Journalier;#&#&D41;#&#&LAB_Bacterio;CTC41;LAB_Bacterio;Layout_Chart_Report;Paysage;Chart_14_Temperature_J_CTC41_V150;*;*;*;14_Temperature_-_J_CTC41;Suivi conformite Temperature Journalier LAB Bacterio;Developpeur
DR26;Suivi conformite Tc Hebdomadaire LAB Bacterio;14;Suivi conformite;Temperature;Temperature;S;Hebdomadaire;#&#&D41;#&#&LAB_Bacterio;CTC41;LAB_Bacterio;Layout_Chart_Report;Paysage;Chart_14_Temperature_S_CTC41_V150;*;*;*;14_Temperature_-_S_CTC41;Suivi conformite Temperature Hebdomadaire LAB Bacterio;Developpeur
DR27;Suivi conformite Tc Mensuel LAB Bacterio;14;Suivi conformite;Temperature;Temperature;M;Mensuel;#&#&D41;#&#&LAB_Bacterio;CTC41;LAB_Bacterio;Layout_Chart_Report;Paysage;Chart_14_Temperature_M_CTC41_V150;*;*;*;14_Temperature_-_M_CTC41;Suivi conformite Temperature Mensuel LAB Bacterio;Developpeur
DR28;Suivi conformite Tc Annuel LAB Bacterio;14;Suivi conformite;Temperature;Temperature;A;Annuel;#&#&D41;#&#&LAB_Bacterio;CTC41;LAB_Bacterio;Layout_Chart_Report;Paysage;Chart_14_Temperature_A_CTC41_V150;*;*;*;14_Temperature_-_A_CTC41;Suivi conformite Temperature Annuel LAB Bacterio;Developpeur
DR29;Suivi conformite Tc Journalier LAB PhysicoChimique;14;Suivi conformite;Temperature;Temperature;J;Journalier;#&#&D42;#&#&LAB_PhysicoChimique;CTC42;LAB_PhysicoChimique;Layout_Chart_Report;Paysage;Chart_14_Temperature_J_CTC42_V150;*;*;*;14_Temperature_-_J_CTC42;Suivi conformite Temperature Journalier LAB PhysicoChimique;Developpeur
DR30;Suivi conformite Tc Hebdomadaire LAB PhysicoChimique;14;Suivi conformite;Temperature;Temperature;S;Hebdomadaire;#&#&D42;#&#&LAB_PhysicoChimique;CTC42;LAB_PhysicoChimique;Layout_Chart_Report;Paysage;Chart_14_Temperature_S_CTC42_V150;*;*;*;14_Temperature_-_S_CTC42;Suivi conformite Temperature Hebdomadaire LAB PhysicoChimique;Developpeur
