dd/MM/yyyy HH:mm:ss;CTCA,12
01/03/2021 09:23:32;2301,00
01/03/2021 09:24:56;2306,00
01/03/2021 09:25:56;2308,00
01/03/2021 09:33:52;2313,00
01/03/2021 09:34:53;2320,00
01/03/2021 09:35:53;2322,00
01/03/2021 09:36:53;2327,00
01/03/2021 09:37:53;2329,00
01/03/2021 09:41:53;2334,00
01/03/2021 09:42:54;2341,00
01/03/2021 09:43:54;2343,00
01/03/2021 09:44:54;2348,00
01/03/2021 09:45:54;2350,00
01/03/2021 09:46:54;2355,00
01/03/2021 09:48:44;2355,00
01/03/2021 09:49:57;2357,00
01/03/2021 09:50:44;2357,00
01/03/2021 09:52:00;2357,00
01/03/2021 09:52:40;2357,00
01/03/2021 09:56:48;2362,00
01/03/2021 09:56:50;2362,00
01/03/2021 09:57:58;2364,00
01/03/2021 10:03:21;2364,00
01/03/2021 10:04:04;2364,00
01/03/2021 10:05:03;2364,00
01/03/2021 10:09:11;2369,00
01/03/2021 10:10:11;2371,00
01/03/2021 10:11:12;2376,00
01/03/2021 10:12:12;2378,00
01/03/2021 10:12:59;2378,00
01/03/2021 10:14:06;2383,00
01/03/2021 10:15:06;2385,00
01/03/2021 10:16:32;2385,00
01/03/2021 10:17:40;2390,00
01/03/2021 10:18:40;2392,00
01/03/2021 10:20:40;2393,00
