dd/MM/yyyy HH:mm:ss;CTCA,12
25/02/2021 08:29:18;5,00
25/02/2021 08:30:18;7,00
25/02/2021 08:31:18;12,00
25/02/2021 08:32:18;14,00
25/02/2021 08:33:19;21,00
25/02/2021 08:35:34;26,00
25/02/2021 08:36:34;28,00
25/02/2021 08:37:34;33,00
25/02/2021 08:38:34;35,00
25/02/2021 08:39:35;42,00
25/02/2021 08:41:35;47,00
25/02/2021 08:42:35;49,00
25/02/2021 08:43:36;54,00
25/02/2021 08:44:36;56,00
25/02/2021 08:45:59;61,00
25/02/2021 08:46:59;63,00
25/02/2021 08:47:59;68,00
25/02/2021 08:48:59;70,00
25/02/2021 08:50:00;75,00
25/02/2021 08:51:00;77,00
25/02/2021 08:52:00;82,00
25/02/2021 08:53:00;84,00
25/02/2021 08:54:01;89,00
25/02/2021 08:55:01;91,00
25/02/2021 08:56:48;96,00
25/02/2021 08:57:48;98,00
25/02/2021 08:58:48;103,00
25/02/2021 08:59:48;105,00
25/02/2021 09:01:30;110,00
25/02/2021 09:02:30;112,00
25/02/2021 09:03:30;117,00
25/02/2021 09:04:30;119,00
25/02/2021 09:05:31;124,00
25/02/2021 09:06:31;126,00
25/02/2021 09:07:31;131,00
25/02/2021 09:08:31;133,00
25/02/2021 09:09:32;138,00
25/02/2021 09:10:32;140,00
25/02/2021 09:12:08;145,00
25/02/2021 09:13:08;147,00
25/02/2021 09:14:09;152,00
25/02/2021 09:15:09;154,00
25/02/2021 09:16:09;159,00
25/02/2021 09:17:09;161,00
25/02/2021 09:18:10;166,00
25/02/2021 09:19:10;168,00
25/02/2021 09:20:43;173,00
25/02/2021 09:21:43;175,00
25/02/2021 09:22:44;180,00
25/02/2021 09:23:44;182,00
25/02/2021 09:24:44;187,00
25/02/2021 09:25:44;189,00
25/02/2021 09:26:45;194,00
25/02/2021 09:27:45;196,00
25/02/2021 09:28:45;201,00
25/02/2021 09:29:45;203,00
25/02/2021 09:32:02;208,00
25/02/2021 09:34:47;215,00
25/02/2021 09:35:47;224,00
25/02/2021 09:39:35;231,00
25/02/2021 09:43:16;236,00
25/02/2021 09:46:20;243,00
25/02/2021 09:48:47;243,00
25/02/2021 09:49:38;243,00
25/02/2021 09:50:48;250,00
25/02/2021 09:51:48;252,00
25/02/2021 09:55:30;257,00
25/02/2021 09:58:06;264,00
25/02/2021 09:59:47;264,00
25/02/2021 10:00:54;271,00
25/02/2021 10:01:54;273,00
25/02/2021 10:03:45;273,00
25/02/2021 10:04:52;278,00
25/02/2021 10:05:52;280,00
25/02/2021 10:09:35;285,00
25/02/2021 10:11:44;285,00
25/02/2021 10:12:51;292,00
25/02/2021 10:13:51;294,00
25/02/2021 10:18:39;299,00
25/02/2021 10:21:04;306,00
25/02/2021 10:23:09;315,00
25/02/2021 10:24:09;320,00
25/02/2021 10:25:09;322,00
25/02/2021 10:26:10;327,00
25/02/2021 10:27:10;329,00
25/02/2021 10:28:11;334,00
25/02/2021 10:29:11;336,00
25/02/2021 10:30:11;341,00
25/02/2021 10:31:11;343,00
25/02/2021 10:32:11;348,00
25/02/2021 10:33:12;350,00
25/02/2021 10:34:12;355,00
25/02/2021 10:35:12;357,00
25/02/2021 10:36:12;362,00
25/02/2021 10:37:13;364,00
25/02/2021 10:38:13;369,00
25/02/2021 10:39:13;371,00
25/02/2021 10:40:14;378,00
25/02/2021 10:42:14;383,00
25/02/2021 10:43:14;385,00
25/02/2021 10:44:15;392,00
25/02/2021 10:46:15;397,00
25/02/2021 10:47:15;399,00
25/02/2021 10:48:15;404,00
25/02/2021 10:49:16;406,00
25/02/2021 10:51:26;406,00
25/02/2021 10:52:34;411,00
25/02/2021 10:53:34;413,00
25/02/2021 10:55:34;418,00
25/02/2021 10:56:34;420,00
25/02/2021 10:57:35;425,00
25/02/2021 10:58:35;427,00
25/02/2021 10:59:35;432,00
25/02/2021 11:00:35;434,00
25/02/2021 11:01:36;439,00
25/02/2021 11:02:36;441,00
25/02/2021 11:03:36;446,00
25/02/2021 11:04:36;448,00
25/02/2021 11:05:37;453,00
25/02/2021 11:06:37;455,00
25/02/2021 11:07:37;460,00
25/02/2021 11:08:37;462,00
25/02/2021 11:09:39;467,00
25/02/2021 11:10:39;469,00
25/02/2021 11:11:39;474,00
25/02/2021 11:12:39;476,00
25/02/2021 11:13:40;481,00
25/02/2021 11:14:40;483,00
25/02/2021 11:15:40;488,00
25/02/2021 11:16:40;490,00
25/02/2021 11:17:41;495,00
25/02/2021 11:18:41;497,00
25/02/2021 11:19:41;504,00
25/02/2021 11:21:42;509,00
25/02/2021 11:22:42;511,00
25/02/2021 11:23:42;516,00
25/02/2021 11:24:42;518,00
25/02/2021 11:33:24;518,00
25/02/2021 11:34:32;523,00
25/02/2021 11:35:32;525,00
25/02/2021 11:39:18;530,00
25/02/2021 11:40:18;537,00
25/02/2021 11:41:18;539,00
25/02/2021 11:42:19;544,00
25/02/2021 11:43:19;546,00
25/02/2021 11:44:19;551,00
25/02/2021 11:45:19;553,00
25/02/2021 11:46:19;558,00
25/02/2021 11:47:19;560,00
25/02/2021 11:50:01;565,00
25/02/2021 11:51:02;572,00
25/02/2021 11:52:02;574,00
25/02/2021 11:53:02;579,00
25/02/2021 11:54:02;581,00
25/02/2021 11:55:03;586,00
25/02/2021 11:56:03;588,00
25/02/2021 11:57:03;595,00
25/02/2021 12:00:42;600,00
25/02/2021 12:02:51;607,00
25/02/2021 12:03:51;614,00
25/02/2021 12:04:51;616,00
25/02/2021 12:05:52;623,00
25/02/2021 12:07:52;628,00
25/02/2021 12:08:52;630,00
25/02/2021 12:11:35;635,00
25/02/2021 12:12:35;642,00
25/02/2021 12:13:35;644,00
25/02/2021 12:14:36;649,00
25/02/2021 12:15:36;651,00
25/02/2021 12:16:36;658,00
25/02/2021 12:18:37;663,00
25/02/2021 12:19:37;665,00
25/02/2021 12:22:17;670,00
25/02/2021 12:23:18;677,00
25/02/2021 12:24:18;679,00
25/02/2021 12:25:18;684,00
25/02/2021 12:26:18;686,00
25/02/2021 12:27:19;691,00
25/02/2021 12:28:19;693,00
25/02/2021 12:29:19;698,00
25/02/2021 12:30:19;700,00
25/02/2021 12:33:00;705,00
25/02/2021 12:34:01;712,00
25/02/2021 12:35:01;714,00
25/02/2021 12:37:20;721,00
25/02/2021 12:38:21;726,00
25/02/2021 12:39:21;728,00
25/02/2021 12:40:21;735,00
25/02/2021 12:44:06;740,00
25/02/2021 12:45:07;747,00
25/02/2021 12:46:07;749,00
25/02/2021 12:47:07;754,00
25/02/2021 12:48:07;756,00
25/02/2021 12:49:08;763,00
25/02/2021 12:51:08;768,00
25/02/2021 12:52:08;770,00
25/02/2021 12:54:39;775,00
25/02/2021 12:55:40;782,00
25/02/2021 12:56:40;784,00
25/02/2021 12:57:40;789,00
25/02/2021 12:58:40;791,00
25/02/2021 12:59:41;798,00
25/02/2021 13:01:41;803,00
25/02/2021 13:02:41;805,00
25/02/2021 13:05:12;810,00
25/02/2021 13:06:13;817,00
25/02/2021 13:07:13;819,00
25/02/2021 13:08:13;824,00
25/02/2021 13:09:13;826,00
25/02/2021 13:10:13;831,00
25/02/2021 13:11:13;833,00
25/02/2021 13:13:18;838,00
25/02/2021 13:15:51;845,00
25/02/2021 13:16:51;852,00
25/02/2021 13:17:51;854,00
25/02/2021 13:18:51;859,00
25/02/2021 13:19:51;861,00
25/02/2021 13:20:52;866,00
25/02/2021 13:21:52;868,00
25/02/2021 13:22:52;873,00
25/02/2021 13:23:52;875,00
25/02/2021 13:26:24;880,00
25/02/2021 13:27:25;887,00
25/02/2021 13:28:25;889,00
25/02/2021 13:29:25;894,00
25/02/2021 13:30:25;896,00
25/02/2021 13:31:25;901,00
25/02/2021 13:32:25;903,00
25/02/2021 13:33:25;908,00
25/02/2021 13:34:25;910,00
25/02/2021 13:36:55;917,00
25/02/2021 13:37:55;922,00
25/02/2021 13:38:55;924,00
25/02/2021 13:39:56;929,00
25/02/2021 13:40:56;931,00
25/02/2021 13:41:56;938,00
25/02/2021 13:43:56;943,00
25/02/2021 13:44:56;945,00
25/02/2021 13:47:25;950,00
25/02/2021 13:49:33;957,00
25/02/2021 13:50:33;964,00
25/02/2021 13:51:33;966,00
25/02/2021 13:52:33;971,00
25/02/2021 13:53:33;973,00
25/02/2021 13:54:33;978,00
25/02/2021 13:55:33;980,00
25/02/2021 13:58:12;985,00
