dd/MM/yyyy HH:mm:ss;CTC7,15
25/02/2021 08:28:14;1,00
25/02/2021 08:28:14;2,00
25/02/2021 08:30:18;4,00
25/02/2021 08:32:19;5,00
25/02/2021 08:32:19;6,00
25/02/2021 08:34:19;8,00
25/02/2021 08:36:34;9,00
25/02/2021 08:36:34;10,00
25/02/2021 08:38:35;12,00
25/02/2021 08:40:35;13,00
25/02/2021 08:40:35;14,00
25/02/2021 08:42:36;15,00
25/02/2021 08:42:36;16,00
25/02/2021 08:44:36;18,00
25/02/2021 08:46:59;20,00
25/02/2021 08:49:00;22,00
25/02/2021 08:51:00;23,00
25/02/2021 08:51:00;24,00
25/02/2021 08:53:01;25,00
25/02/2021 08:53:01;26,00
25/02/2021 08:55:01;27,00
25/02/2021 08:55:01;28,00
25/02/2021 08:57:48;29,00
25/02/2021 08:57:48;30,00
25/02/2021 08:59:48;31,00
25/02/2021 08:59:48;32,00
25/02/2021 09:02:30;34,00
25/02/2021 09:04:30;35,00
25/02/2021 09:04:31;36,00
25/02/2021 09:06:31;38,00
25/02/2021 09:08:31;40,00
25/02/2021 09:10:32;41,00
25/02/2021 09:10:32;42,00
25/02/2021 09:13:09;44,00
25/02/2021 09:15:09;45,00
25/02/2021 09:15:09;46,00
25/02/2021 09:17:10;48,00
25/02/2021 09:19:10;50,00
25/02/2021 09:21:43;51,00
25/02/2021 09:21:43;52,00
25/02/2021 09:23:44;53,00
25/02/2021 09:23:44;54,00
25/02/2021 09:25:44;55,00
25/02/2021 09:25:44;56,00
25/02/2021 09:27:45;58,00
25/02/2021 09:29:45;60,00
25/02/2021 09:32:03;61,00
25/02/2021 09:32:03;62,00
25/02/2021 09:34:47;63,00
25/02/2021 09:34:47;64,00
25/02/2021 09:36:47;65,00
25/02/2021 09:36:47;66,00
25/02/2021 09:39:35;68,00
25/02/2021 09:43:16;69,00
25/02/2021 09:43:16;70,00
25/02/2021 09:46:20;71,00
25/02/2021 09:46:20;72,00
25/02/2021 09:48:47;72,00
25/02/2021 09:49:38;72,00
25/02/2021 09:52:48;73,00
25/02/2021 09:52:48;74,00
25/02/2021 09:55:30;75,00
25/02/2021 09:55:30;76,00
25/02/2021 09:58:06;77,00
25/02/2021 09:58:06;78,00
25/02/2021 09:59:47;78,00
25/02/2021 10:02:54;79,00
25/02/2021 10:02:54;80,00
25/02/2021 10:03:45;80,00
25/02/2021 10:06:53;82,00
25/02/2021 10:09:36;83,00
25/02/2021 10:09:36;84,00
25/02/2021 10:11:44;84,00
25/02/2021 10:14:51;86,00
25/02/2021 10:18:40;87,00
25/02/2021 10:18:40;88,00
25/02/2021 10:21:04;89,00
25/02/2021 10:21:05;90,00
25/02/2021 10:23:09;91,00
25/02/2021 10:23:09;92,00
25/02/2021 10:25:10;94,00
25/02/2021 10:27:10;95,00
25/02/2021 10:27:10;96,00
25/02/2021 10:29:11;97,00
25/02/2021 10:29:11;98,00
25/02/2021 10:31:11;99,00
25/02/2021 10:31:11;100,00
25/02/2021 10:33:12;101,00
25/02/2021 10:33:12;102,00
25/02/2021 10:35:12;103,00
25/02/2021 10:35:12;104,00
25/02/2021 10:37:13;105,00
25/02/2021 10:37:13;106,00
25/02/2021 10:39:13;107,00
25/02/2021 10:39:13;108,00
25/02/2021 10:41:14;109,00
25/02/2021 10:41:14;110,00
25/02/2021 10:43:14;111,00
25/02/2021 10:43:14;112,00
25/02/2021 10:45:15;113,00
25/02/2021 10:45:15;114,00
25/02/2021 10:47:15;115,00
25/02/2021 10:47:15;116,00
25/02/2021 10:49:16;117,00
25/02/2021 10:49:16;118,00
25/02/2021 10:51:26;118,00
25/02/2021 10:54:34;119,00
25/02/2021 10:54:34;120,00
25/02/2021 10:56:34;121,00
25/02/2021 10:56:34;122,00
25/02/2021 10:58:35;123,00
25/02/2021 10:58:35;124,00
25/02/2021 11:00:35;125,00
25/02/2021 11:00:35;126,00
25/02/2021 11:02:36;127,00
25/02/2021 11:02:36;128,00
25/02/2021 11:04:36;130,00
25/02/2021 11:06:37;131,00
25/02/2021 11:06:37;132,00
25/02/2021 11:08:37;133,00
25/02/2021 11:08:37;134,00
25/02/2021 11:10:39;136,00
25/02/2021 11:12:40;137,00
25/02/2021 11:12:40;138,00
25/02/2021 11:14:40;140,00
25/02/2021 11:16:41;141,00
25/02/2021 11:16:41;142,00
25/02/2021 11:18:41;144,00
25/02/2021 11:20:42;145,00
25/02/2021 11:20:42;146,00
25/02/2021 11:22:42;147,00
25/02/2021 11:22:42;148,00
25/02/2021 11:24:43;150,00
25/02/2021 11:33:24;150,00
25/02/2021 11:36:32;151,00
25/02/2021 11:36:32;152,00
25/02/2021 11:39:18;153,00
25/02/2021 11:39:18;154,00
25/02/2021 11:41:18;156,00
25/02/2021 11:43:19;158,00
25/02/2021 11:45:19;159,00
25/02/2021 11:45:19;160,00
25/02/2021 11:47:20;161,00
25/02/2021 11:47:20;162,00
25/02/2021 11:50:02;163,00
25/02/2021 11:50:02;164,00
25/02/2021 11:52:02;165,00
25/02/2021 11:52:02;166,00
25/02/2021 11:54:03;168,00
25/02/2021 11:56:03;169,00
25/02/2021 11:56:03;170,00
25/02/2021 11:58:04;172,00
25/02/2021 12:00:42;173,00
25/02/2021 12:00:42;174,00
25/02/2021 12:02:51;175,00
25/02/2021 12:02:51;176,00
25/02/2021 12:04:52;177,00
25/02/2021 12:04:52;178,00
25/02/2021 12:06:52;180,00
25/02/2021 12:08:53;182,00
25/02/2021 12:11:35;183,00
25/02/2021 12:11:35;184,00
25/02/2021 12:13:36;186,00
25/02/2021 12:15:36;187,00
25/02/2021 12:15:36;188,00
25/02/2021 12:17:36;189,00
25/02/2021 12:17:37;190,00
25/02/2021 12:19:37;191,00
25/02/2021 12:19:37;192,00
25/02/2021 12:22:17;193,00
25/02/2021 12:22:18;194,00
25/02/2021 12:24:18;196,00
25/02/2021 12:26:18;197,00
25/02/2021 12:26:18;198,00
25/02/2021 12:28:19;200,00
25/02/2021 12:30:19;201,00
25/02/2021 12:30:19;202,00
25/02/2021 12:33:00;204,00
25/02/2021 12:35:01;205,00
25/02/2021 12:35:01;206,00
25/02/2021 12:37:21;208,00
25/02/2021 12:39:21;209,00
