Code Compteur;Le Compteur;Energie;Compteur Parent;Le Compteur Parent;Compteur_Level;PC_Production;PC_Distribution;PC_Consommation;Point de Production;Point de Distribution;Point de Consommation;Description;type;parent energie;Ratio;Unite;Master;COMs (Gate:PortTCP:Sortie:Channel:Device);Parse Formule;User Formule;Date Modify;Date Load;Nbr Error;Detailles Nom;Nom Ratio;Access_Group;KPI
CTC4J;BAC_R3;Temperature;CTC41;LAB_Bacterio;3;D64;*;D41A;T°c  positive;*;BAC_R3;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC4K;BAC_MICROBIO;Temperature;CTC41;LAB_Bacterio;3;D64;*;D41B;T°c  positive;*;BAC_MICROBIO;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC42;LAB_PhysicoChimique;Temperature;CTC4;Laboratoire;2;*;*;D42;*;*;LAB_PhysicoChimique;F(CTC42);Atelier;*;*;*;*;*;F~(~CTC42~)~;F~(~LAB_PhysicoChimique~)~;*;*;0;*;*;*;C1
CTC4R;PHY_C1;Temperature;CTC42;LAB_PhysicoChimique;3;D65;*;D421;T°c  negativre;*;PHY_C1;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC4L;PHY_C2;Temperature;CTC42;LAB_PhysicoChimique;3;D65;*;D422;T°c  negativre;*;PHY_C2;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC4M;PHY_C3;Temperature;CTC42;LAB_PhysicoChimique;3;D65;*;D423;T°c  negativre;*;PHY_C3;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC4N;PHY_C4;Temperature;CTC42;LAB_PhysicoChimique;3;D65;*;D424;T°c  negativre;*;PHY_C4;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC4O;PHY_C5;Temperature;CTC42;LAB_PhysicoChimique;3;D65;*;D425;T°c  negativre;*;PHY_C5;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC4P;PHY_C6;Temperature;CTC42;LAB_PhysicoChimique;3;D65;*;D426;T°c  negativre;*;PHY_C6;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC5;Salle_De_Fermentation;Temperature;CTCA;CLC;1;*;*;D5;*;*;Salle_De_Fermentation;F(CTC5);Unite;*;*;*;*;*;F~(~CTC5~)~;F~(~Salle_De_Fermentation~)~;*;*;0;*;*;*;C1
CTC5A;FERMO_R1;Temperature;CTC5;Salle_De_Fermentation;3;D65;*;D51;T°c  negativre;*;FER_R1;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC5B;FERMO_R2;Temperature;CTC5;Salle_De_Fermentation;3;D65;*;D52;T°c  negativre;*;FER_R2;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC5C;FERMO_R3;Temperature;CTC5;Salle_De_Fermentation;3;D65;*;D53;T°c  negativre;*;FER_R3;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC5D;FERMO_R4;Temperature;CTC5;Salle_De_Fermentation;3;D65;*;D54;T°c  negativre;*;FER_R4;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC5E;FERMO_R5;Temperature;CTC5;Salle_De_Fermentation;3;D65;*;D55;T°c  negativre;*;FER_R5;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC5F;FERMO_R6;Temperature;CTC5;Salle_De_Fermentation;3;D65;*;D56;T°c  negativre;*;FER_R6;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC5G;FERMO_C1;Temperature;CTC5;Salle_De_Fermentation;3;D65;*;D57;T°c  negativre;*;FER_C1;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC5H;FERMO_C2;Temperature;CTC5;Salle_De_Fermentation;3;D65;*;D58;T°c  negativre;*;FER_C2;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC5I;FERMO_C3;Temperature;CTC5;Salle_De_Fermentation;3;D65;*;D59;T°c  negativre;*;FER_C3;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CTC6;Matiere_Premiere_P1;Temperature;CTCA;CLC;3;D65;*;D6;T°c  negativre;*;Matiere_Premiere_P1;Reel;Point de mesure;*;*;*;!~*;!~*;*;*;*;*;2;*;*;*;C1
CTC7;CH_CHAUD_LABO;Temperature;CTCA;CLC;3;D66;*;D7;T°c  chaude;*;CH_CHAUD_LABO;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CHCA;CLC;Humidite;*;*;0;*;*;D1;*;*;CLC;F(CHCA);Company;*;*;*;*;*;F~(~CHCA~)~;F~(~CLC~)~;;;0;;;;C1
CHC1;Production;Humidite;CHCA;CLC;1;*;*;D2;*;*;Production;F(CHC1);Unite;*;*;*;*;*;F~(~CHC1~)~;F~(~Production~)~;;;0;;;;C1
CHC1A;Process_Pasto;Humidite;CHC1;Production;3;D64;*;D21;T°c  positive;*;Process_Pasto;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CHC1B;Process_Sterilo;Humidite;CHC1;Production;3;D64;*;D22;T°c  positive;*;Process_Sterilo;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CHC1C;Cond_UHT1_P1;Humidite;CHC1;Production;3;D64;*;D23;T°c  positive;*;Cond_UHT1_P1;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CHC1D;Cond_UHT1_P2;Humidite;CHC1;Production;3;D64;*;D24;T°c  positive;*;Cond_UHT1_P2;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
