Energy\\ID;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41
Temperature;[T°c ]^J;[T°c ]^S;[T°c ]^M;[T°c ]^A;T°c min^J;T°c min^S;T°c min^M;T°c min^A;T°c Max^J;T°c max^S;T°c max^M;T°c max^A;Inc^J;Inc^S;Inc^M;Inc^A;T°c ^LIVE;Inc LIVE;[T°c ]^J-1;[T°c ]^S-1;[T°c ]^M-1;[T°c ]^A-1;T°c min^J-1;T°c min^S-1;T°c min^M-1;T°c min^A-1;T°c Max^J-1;T°c max^S-1;T°c max^M-1;T°c max^A-1;Inc^J-1;Inc^S-1;Inc^M-1;Inc^A-1;C %^J;C %^S;C %^M;C %^A;C %^J-1;C %^S-1;C %^M-1;C %^A-1
Humidite;[HR%]^J;[HR%]^S;[HR%]^M;[HR%]^A;HR%min^J;HR%min^S;HR%min^M;HR%min^A;HR%Max^J;HR%max^S;HR%max^M;HR%max^A;Inc^J;Inc^S;Inc^M;Inc^A;HR%^LIVE;Inc LIVE;[HR%]^J-1;[HR%]^S-1;[HR%]^M-1;[HR%]^A-1;HR%min^J-1;HR%min^S-1;HR%min^M-1;HR%min^A-1;HR%Max^J-1;HR%max^S-1;HR%max^M-1;HR%max^A-1;Inc^J-1;Inc^S-1;Inc^M-1;Inc^A-1;C %^J;C %^S;C %^M;C %^A;C %^J-1;C %^S-1;C %^M-1;C %^A-1
