MailingList_Code;Nom_MailingList;Path;Access;Type
EML110;MAROUENE;C:\ProgramData\Winlog Pro 3\Projects\RealTimeMonitoring_CLC_V150\Winlog\Files\DATAMODELFiles\MailingList\;16383;Mailing List
EML2;marouene;C:\ProgramData\Winlog Pro 3\Projects\RealTimeMonitoring_CLC_V150\Winlog\Files\DATAMODELFiles\MailingList\;16383;Mailing List
