Date;energie;Code;HR% LIVE;<HR%>;HR% min;HR% Max;C %;Inc;Time
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;10:06:52
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;10:41:20
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;10:41:20
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;10:41:20
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;10:41:20
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;10:41:20
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;10:41:20
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;10:41:21
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;10:41:21
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;10:41:21
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;10:41:21
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;10:41:21
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;10:41:36
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;10:41:36
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;10:41:36
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;10:41:36
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;10:41:36
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;10:41:36
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;10:41:37
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;10:41:37
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;10:41:37
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;10:41:37
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;10:41:37
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;10:41:51
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;10:41:51
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;10:41:51
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;10:41:51
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;10:41:51
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;10:41:52
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;10:41:52
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;10:41:52
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;10:41:52
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;10:41:52
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;10:41:52
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;11:03:18
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;11:03:19
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;11:03:19
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;11:03:19
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;11:03:19
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;11:03:19
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;11:03:19
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;11:03:19
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;11:03:19
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;11:03:19
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;11:03:19
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;11:05:05
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;11:05:05
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;11:05:05
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;11:05:06
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;11:05:06
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;11:05:06
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;11:05:06
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;11:05:07
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;11:05:07
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;11:05:07
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;11:05:07
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;11:06:02
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;11:06:03
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;11:06:03
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;11:06:03
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;11:06:03
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;11:06:03
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;11:06:03
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;11:06:03
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;11:06:03
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;11:06:03
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;11:06:03
