dd/MM/yyyy HH:mm:ss;LOG_OK,0
26/02/2021 08:31:06;OK
26/02/2021 08:32:06;OK
26/02/2021 08:33:06;OK
26/02/2021 08:34:06;OK
26/02/2021 08:35:06;OK
26/02/2021 08:36:06;OK
26/02/2021 08:37:06;OK
26/02/2021 08:38:06;OK
26/02/2021 08:39:06;OK
26/02/2021 08:40:06;OK
26/02/2021 08:41:06;OK
26/02/2021 08:42:06;OK
26/02/2021 08:43:06;OK
26/02/2021 08:44:06;OK
26/02/2021 08:45:06;OK
26/02/2021 08:46:06;OK
26/02/2021 08:47:06;OK
26/02/2021 08:48:06;OK
26/02/2021 08:49:06;OK
26/02/2021 08:50:06;OK
26/02/2021 08:51:06;OK
26/02/2021 08:52:06;OK
26/02/2021 08:53:06;OK
26/02/2021 08:54:06;OK
26/02/2021 08:55:06;OK
26/02/2021 08:56:06;OK
26/02/2021 08:57:06;OK
26/02/2021 08:58:06;OK
26/02/2021 08:59:06;OK
26/02/2021 09:00:06;OK
26/02/2021 09:00:40;OK
26/02/2021 09:01:40;OK
26/02/2021 09:02:40;OK
26/02/2021 09:03:40;OK
26/02/2021 09:04:27;OK
26/02/2021 09:05:27;OK
26/02/2021 09:06:27;OK
26/02/2021 09:07:27;OK
26/02/2021 09:08:27;OK
26/02/2021 09:09:27;OK
26/02/2021 09:10:27;OK
26/02/2021 09:11:27;OK
26/02/2021 09:12:25;OK
26/02/2021 09:13:25;OK
26/02/2021 09:14:25;OK
26/02/2021 09:15:25;OK
26/02/2021 09:16:25;OK
26/02/2021 09:17:25;OK
26/02/2021 09:18:25;OK
26/02/2021 09:19:25;OK
26/02/2021 09:20:25;OK
26/02/2021 09:21:25;OK
26/02/2021 09:22:25;OK
26/02/2021 09:23:25;OK
26/02/2021 09:24:25;OK
26/02/2021 09:25:25;OK
26/02/2021 09:26:25;OK
26/02/2021 09:27:25;OK
26/02/2021 09:28:25;OK
26/02/2021 09:29:25;OK
26/02/2021 09:30:25;OK
26/02/2021 09:31:25;OK
26/02/2021 09:32:25;OK
26/02/2021 09:33:25;OK
26/02/2021 09:34:25;OK
26/02/2021 09:35:25;OK
26/02/2021 09:36:25;OK
26/02/2021 09:37:25;OK
26/02/2021 09:38:25;OK
26/02/2021 09:39:25;OK
26/02/2021 09:40:25;OK
26/02/2021 09:41:25;OK
26/02/2021 09:42:25;OK
26/02/2021 09:43:25;OK
26/02/2021 09:44:25;OK
26/02/2021 09:45:25;OK
26/02/2021 09:46:25;OK
26/02/2021 09:47:25;OK
26/02/2021 09:48:25;OK
26/02/2021 09:49:25;OK
26/02/2021 09:50:25;OK
26/02/2021 09:50:28;OK
26/02/2021 09:51:29;OK
26/02/2021 09:52:29;OK
26/02/2021 09:53:29;OK
26/02/2021 09:54:29;OK
26/02/2021 09:55:29;OK
26/02/2021 09:56:29;OK
26/02/2021 09:57:29;OK
26/02/2021 09:58:29;OK
26/02/2021 09:59:29;OK
26/02/2021 10:00:29;OK
26/02/2021 10:01:29;OK
26/02/2021 10:02:29;OK
26/02/2021 10:03:29;OK
26/02/2021 10:04:29;OK
26/02/2021 10:05:29;OK
26/02/2021 10:06:29;OK
26/02/2021 10:07:29;OK
26/02/2021 10:08:29;OK
26/02/2021 10:09:29;OK
26/02/2021 10:10:29;OK
26/02/2021 10:11:29;OK
26/02/2021 10:12:29;OK
26/02/2021 10:13:29;OK
26/02/2021 10:14:29;OK
26/02/2021 10:15:29;OK
26/02/2021 10:16:29;OK
26/02/2021 10:17:29;OK
26/02/2021 10:18:29;OK
26/02/2021 10:19:29;OK
26/02/2021 10:20:29;OK
26/02/2021 10:21:29;OK
26/02/2021 10:22:29;OK
26/02/2021 10:23:29;OK
26/02/2021 10:24:29;OK
26/02/2021 10:25:29;OK
26/02/2021 10:26:29;OK
26/02/2021 10:27:29;OK
26/02/2021 10:28:29;OK
26/02/2021 10:29:29;OK
26/02/2021 10:30:29;OK
26/02/2021 10:31:29;OK
26/02/2021 10:32:29;OK
26/02/2021 10:34:23;OK
26/02/2021 10:35:23;OK
