dd/MM/yyyy HH:mm:ss;LOG_OK,0
01/03/2021 09:23:31;OK
01/03/2021 09:24:32;OK
01/03/2021 09:25:32;OK
01/03/2021 09:26:32;OK
01/03/2021 09:27:32;OK
01/03/2021 09:28:32;OK
01/03/2021 09:29:32;OK
01/03/2021 09:30:32;OK
01/03/2021 09:31:32;OK
01/03/2021 09:32:32;OK
01/03/2021 09:33:32;OK
01/03/2021 09:34:32;OK
01/03/2021 09:35:32;OK
01/03/2021 09:36:32;OK
01/03/2021 09:37:32;OK
01/03/2021 09:38:32;OK
01/03/2021 09:39:32;OK
01/03/2021 09:40:32;OK
01/03/2021 09:41:32;OK
01/03/2021 09:42:32;OK
01/03/2021 09:43:32;OK
01/03/2021 09:44:32;OK
01/03/2021 09:45:32;OK
01/03/2021 09:46:32;OK
01/03/2021 09:47:32;OK
01/03/2021 09:48:32;OK
01/03/2021 09:48:44;OK
01/03/2021 09:49:44;OK
01/03/2021 09:50:44;OK
01/03/2021 09:52:00;OK
01/03/2021 09:52:40;OK
01/03/2021 09:53:40;OK
01/03/2021 09:54:40;OK
01/03/2021 09:55:40;OK
01/03/2021 09:56:40;OK
01/03/2021 09:56:50;OK
01/03/2021 09:57:50;OK
01/03/2021 09:58:50;OK
01/03/2021 09:59:50;OK
01/03/2021 10:00:50;OK
01/03/2021 10:01:50;OK
01/03/2021 10:02:50;OK
01/03/2021 10:03:21;OK
01/03/2021 10:04:04;OK
01/03/2021 10:05:02;OK
01/03/2021 10:06:02;OK
01/03/2021 10:07:02;OK
01/03/2021 10:08:02;OK
01/03/2021 10:09:02;OK
01/03/2021 10:10:02;OK
01/03/2021 10:11:02;OK
01/03/2021 10:12:02;OK
01/03/2021 10:12:58;OK
01/03/2021 10:13:58;OK
01/03/2021 10:14:58;OK
01/03/2021 10:15:58;OK
01/03/2021 10:16:32;OK
01/03/2021 10:17:32;OK
01/03/2021 10:18:32;OK
01/03/2021 10:19:32;OK
01/03/2021 10:20:32;OK
01/03/2021 10:21:32;OK
