dd/MM/yyyy HH:mm:ss;CTCA,15
25/02/2021 08:29:18;4,00
25/02/2021 08:31:18;8,00
25/02/2021 08:33:19;12,00
25/02/2021 08:35:34;16,00
25/02/2021 08:37:34;20,00
25/02/2021 08:39:35;24,00
25/02/2021 08:41:35;28,00
25/02/2021 08:43:36;32,00
25/02/2021 08:45:59;36,00
25/02/2021 08:47:59;40,00
25/02/2021 08:50:00;44,00
25/02/2021 08:52:00;48,00
25/02/2021 08:54:01;52,00
25/02/2021 08:56:48;56,00
25/02/2021 08:58:48;60,00
25/02/2021 09:01:30;64,00
25/02/2021 09:03:30;68,00
25/02/2021 09:05:31;72,00
25/02/2021 09:07:31;76,00
25/02/2021 09:09:32;80,00
25/02/2021 09:12:08;84,00
25/02/2021 09:14:09;88,00
25/02/2021 09:16:09;92,00
25/02/2021 09:18:10;96,00
25/02/2021 09:20:43;100,00
25/02/2021 09:22:44;104,00
25/02/2021 09:24:44;108,00
25/02/2021 09:26:45;112,00
25/02/2021 09:28:45;116,00
25/02/2021 09:32:02;120,00
25/02/2021 09:34:47;124,00
25/02/2021 09:35:47;128,00
25/02/2021 09:39:35;132,00
25/02/2021 09:43:16;136,00
25/02/2021 09:46:20;140,00
25/02/2021 09:48:47;140,00
25/02/2021 09:49:38;140,00
25/02/2021 09:50:48;144,00
25/02/2021 09:55:30;148,00
25/02/2021 09:58:06;152,00
25/02/2021 09:59:47;152,00
25/02/2021 10:00:54;156,00
25/02/2021 10:03:45;156,00
25/02/2021 10:04:52;160,00
25/02/2021 10:09:35;164,00
25/02/2021 10:11:44;164,00
25/02/2021 10:12:51;168,00
25/02/2021 10:18:39;172,00
25/02/2021 10:21:04;176,00
25/02/2021 10:23:09;180,00
25/02/2021 10:24:09;184,00
25/02/2021 10:26:10;188,00
25/02/2021 10:28:11;192,00
25/02/2021 10:30:11;196,00
25/02/2021 10:32:11;200,00
25/02/2021 10:34:12;204,00
25/02/2021 10:36:12;208,00
25/02/2021 10:38:13;212,00
25/02/2021 10:40:14;216,00
25/02/2021 10:42:14;220,00
25/02/2021 10:44:15;224,00
25/02/2021 10:46:15;228,00
25/02/2021 10:48:15;232,00
25/02/2021 10:51:26;232,00
25/02/2021 10:52:34;236,00
25/02/2021 10:55:34;240,00
25/02/2021 10:57:35;244,00
25/02/2021 10:59:35;248,00
25/02/2021 11:01:36;252,00
25/02/2021 11:03:36;256,00
25/02/2021 11:05:37;260,00
25/02/2021 11:07:37;264,00
25/02/2021 11:09:39;268,00
25/02/2021 11:11:39;272,00
25/02/2021 11:13:40;276,00
25/02/2021 11:15:40;280,00
25/02/2021 11:17:41;284,00
25/02/2021 11:19:41;288,00
25/02/2021 11:21:42;292,00
25/02/2021 11:23:42;296,00
25/02/2021 11:33:24;296,00
25/02/2021 11:34:32;300,00
25/02/2021 11:39:18;304,00
25/02/2021 11:40:18;308,00
25/02/2021 11:42:19;312,00
25/02/2021 11:44:19;316,00
25/02/2021 11:46:19;320,00
25/02/2021 11:50:01;324,00
25/02/2021 11:51:02;328,00
25/02/2021 11:53:02;332,00
25/02/2021 11:55:03;336,00
25/02/2021 11:57:03;340,00
25/02/2021 12:00:42;344,00
25/02/2021 12:02:51;348,00
25/02/2021 12:03:51;352,00
25/02/2021 12:05:52;356,00
25/02/2021 12:07:52;360,00
25/02/2021 12:11:35;364,00
25/02/2021 12:12:35;368,00
25/02/2021 12:14:36;372,00
25/02/2021 12:16:36;376,00
25/02/2021 12:18:37;380,00
25/02/2021 12:22:17;384,00
25/02/2021 12:23:18;388,00
25/02/2021 12:25:18;392,00
25/02/2021 12:27:19;396,00
25/02/2021 12:29:19;400,00
25/02/2021 12:33:00;404,00
25/02/2021 12:34:01;408,00
25/02/2021 12:37:20;412,00
25/02/2021 12:38:21;416,00
25/02/2021 12:40:21;420,00
25/02/2021 12:44:06;424,00
25/02/2021 12:45:07;428,00
25/02/2021 12:47:07;432,00
25/02/2021 12:49:08;436,00
25/02/2021 12:51:08;440,00
25/02/2021 12:54:39;444,00
25/02/2021 12:55:40;448,00
25/02/2021 12:57:40;452,00
25/02/2021 12:59:41;456,00
25/02/2021 13:01:41;460,00
25/02/2021 13:05:12;464,00
25/02/2021 13:06:13;468,00
25/02/2021 13:08:13;472,00
25/02/2021 13:10:13;476,00
25/02/2021 13:13:18;480,00
25/02/2021 13:15:51;484,00
25/02/2021 13:16:51;488,00
25/02/2021 13:18:51;492,00
25/02/2021 13:20:52;496,00
25/02/2021 13:22:52;500,00
25/02/2021 13:26:24;504,00
25/02/2021 13:27:25;508,00
25/02/2021 13:29:25;512,00
25/02/2021 13:31:25;516,00
25/02/2021 13:33:25;520,00
25/02/2021 13:36:55;524,00
25/02/2021 13:37:55;528,00
25/02/2021 13:39:56;532,00
25/02/2021 13:41:56;536,00
25/02/2021 13:43:56;540,00
25/02/2021 13:47:25;544,00
25/02/2021 13:49:33;548,00
25/02/2021 13:50:33;552,00
25/02/2021 13:52:33;556,00
25/02/2021 13:54:33;560,00
25/02/2021 13:58:12;564,00
25/02/2021 13:59:12;568,00
25/02/2021 14:01:13;572,00
25/02/2021 14:03:13;576,00
25/02/2021 14:05:13;580,00
25/02/2021 14:08:44;584,00
25/02/2021 14:09:44;588,00
25/02/2021 14:11:44;592,00
25/02/2021 14:13:45;596,00
25/02/2021 14:15:45;600,00
25/02/2021 14:19:13;604,00
25/02/2021 14:20:14;608,00
25/02/2021 14:22:14;612,00
25/02/2021 14:25:20;616,00
25/02/2021 14:26:20;620,00
25/02/2021 14:29:47;624,00
25/02/2021 14:30:47;628,00
