dd/MM/yyyy HH:mm:ss;CTC6,15
01/03/2021 09:23:32;656,00
01/03/2021 09:26:56;657,00
01/03/2021 09:26:56;658,00
01/03/2021 09:33:53;659,00
01/03/2021 09:33:53;660,00
01/03/2021 09:35:53;662,00
01/03/2021 09:37:53;664,00
01/03/2021 09:41:54;666,00
01/03/2021 09:43:54;667,00
01/03/2021 09:43:54;668,00
01/03/2021 09:45:54;669,00
01/03/2021 09:45:54;670,00
01/03/2021 09:48:44;670,00
01/03/2021 09:50:44;670,00
01/03/2021 09:52:00;670,00
01/03/2021 09:52:40;670,00
01/03/2021 09:55:48;671,00
01/03/2021 09:55:48;672,00
01/03/2021 09:56:50;672,00
01/03/2021 10:03:21;672,00
01/03/2021 10:04:04;672,00
01/03/2021 10:05:03;672,00
01/03/2021 10:08:11;673,00
01/03/2021 10:08:11;674,00
01/03/2021 10:10:11;676,00
01/03/2021 10:12:12;677,00
01/03/2021 10:12:12;678,00
01/03/2021 10:12:59;678,00
01/03/2021 10:16:07;680,00
01/03/2021 10:16:32;680,00
